keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
526;Santa Maria da Serra;SP;3547007
527;Santa Mercedes;SP;3547106
528;Santana da Ponte Pensa;SP;3547205
529;Santana de Parnaíba;SP;3547304
530;Santa Rita d'Oeste;SP;3547403
531;Santa Rita do Passa Quatro;SP;3547502
532;Santa Rosa de Viterbo;SP;3547601
533;Santa Salete;SP;3547650
534;Santo Anastácio;SP;3547700
535;Santo André;SP;3547809
536;Santo Antônio da Alegria;SP;3547908
537;Santo Antônio de Posse;SP;3548005
538;Santo Antônio do Aracanguá;SP;3548054
539;Santo Antônio do Jardim;SP;3548104
540;Santo Antônio do Pinhal;SP;3548203
541;Santo Expedito;SP;3548302
542;Santópolis do Aguapeí;SP;3548401
543;Santos;SP;3548500
544;São Bento do Sapucaí;SP;3548609
545;São Bernardo do Campo;SP;3548708
546;São Caetano do Sul;SP;3548807
547;São Carlos;SP;3548906
548;São Francisco;SP;3549003
549;São João da Boa Vista;SP;3549102
550;São João das Duas Pontes;SP;3549201
551;São João de Iracema;SP;3549250
552;São João do Pau d'Alho;SP;3549300
553;São Joaquim da Barra;SP;3549409
554;São José da Bela Vista;SP;3549508
555;São José do Barreiro;SP;3549607
556;São José do Rio Pardo;SP;3549706
557;São José do Rio Preto;SP;3549805
558;São José dos Campos;SP;3549904
559;São Lourenço da Serra;SP;3549953
560;São Luiz do Paraitinga;SP;3550001
561;São Manuel;SP;3550100
562;São Miguel Arcanjo;SP;3550209
563;São Paulo;SP;3550308
564;São Pedro;SP;3550407
565;São Pedro do Turvo;SP;3550506
566;São Roque;SP;3550605
567;São Sebastião;SP;3550704
568;São Sebastião da Grama;SP;3550803
569;São Simão;SP;3550902
570;São Vicente;SP;3551009
571;Sarapuí;SP;3551108
572;Sarutaiá;SP;3551207
573;Sebastianópolis do Sul;SP;3551306
574;Serra Azul;SP;3551405
575;Serrana;SP;3551504
576;Serra Negra;SP;3551603
577;Sertãozinho;SP;3551702
578;Sete Barras;SP;3551801
579;Severínia;SP;3551900
580;Silveiras;SP;3552007
581;Socorro;SP;3552106
582;Sorocaba;SP;3552205
583;Sud Mennucci;SP;3552304
584;Sumaré;SP;3552403
585;Suzano;SP;3552502
586;Suzanápolis;SP;3552551
587;Tabapuã;SP;3552601
588;Tabatinga;SP;3552700
589;Taboão da Serra;SP;3552809
590;Taciba;SP;3552908
591;Taguaí;SP;3553005
592;Taiaçu;SP;3553104
593;Taiúva;SP;3553203
594;Tambaú;SP;3553302
595;Tanabi;SP;3553401
596;Tapiraí;SP;3553500
597;Tapiratiba;SP;3553609
598;Taquaral;SP;3553658
599;Taquaritinga;SP;3553708
600;Taquarituba;SP;3553807
601;Taquarivaí;SP;3553856
602;Tarabai;SP;3553906
603;Tarumã;SP;3553955
604;Tatuí;SP;3554003
605;Taubaté;SP;3554102
606;Tejupá;SP;3554201
607;Teodoro Sampaio;SP;3554300
608;Terra Roxa;SP;3554409
609;Tietê;SP;3554508
