keypib;valorpib;anopib;setorpib;nomecidadepib;ufpib;codigoibge
346;3035153000;2010;Indústria;MOGI DAS CRUZES;SP;3530607
347;1210066000;2010;Indústria;MOGI GUAÇU;SP;3530706
348;884387000;2010;Indústria;MOGI MIRIM;SP;3530805
349;3779988000;2010;Indústria;MOMBUCA;SP;3530904
350;0;2010;Indústria;MONÇÕES;SP;3531001
351;0;2010;Indústria;MONGAGUÁ;SP;3531100
352;;2010;Indústria;MONTE ALEGRE DO SUL;SP;3531209
353;;2010;Indústria;MONTE ALTO;SP;3531308
354;0;2010;Indústria;MONTE APRAZÍVEL;SP;3531407
355;0;2010;Indústria;MONTE AZUL PAULISTA;SP;3531506
356;2449125000;2010;Indústria;MONTE CASTELO;SP;3531605
357;0;2010;Indústria;MONTE MOR;SP;3531803
358;4704924000;2010;Indústria;MONTEIRO LOBATO;SP;3531704
359;;2010;Indústria;MORRO AGUDO;SP;3531902
360;;2010;Indústria;MORUNGABA;SP;3532009
361;4917302000;2010;Indústria;MOTUCA;SP;3532058
362;1497558000;2010;Indústria;MURUTINGA DO SUL;SP;3532108
363;2034178000;2010;Indústria;NANTES;SP;3532157
364;;2010;Indústria;NARANDIBA;SP;3532207
365;2520833000;2010;Indústria;NATIVIDADE DA SERRA;SP;3532306
366;;2010;Indústria;NAZARÉ PAULISTA;SP;3532405
367;;2010;Indústria;NEVES PAULISTA;SP;3532504
368;;2010;Indústria;NHANDEARA;SP;3532603
369;;2010;Indústria;NIPOÃ;SP;3532702
370;6706563000;2010;Indústria;NOVA ALIANÇA;SP;3532801
371;;2010;Indústria;NOVA CAMPINA;SP;3532827
372;1136463000;2010;Indústria;NOVA CANAÃ PAULISTA;SP;3532843
373;1096796000;2010;Indústria;NOVA CASTILHO;SP;3532868
374;;2010;Indústria;NOVA EUROPA;SP;3532900
375;;2010;Indústria;NOVA GRANADA;SP;3533007
376;1147249000;2010;Indústria;NOVA GUATAPORANGA;SP;3533106
377;2534088000;2010;Indústria;NOVA INDEPENDÊNCIA;SP;3533205
378;0;2010;Indústria;NOVA LUZITÂNIA;SP;3533304
379;0;2010;Indústria;NOVA ODESSA;SP;3533403
380;1828478000;2010;Indústria;NOVAIS;SP;3533254
381;;2010;Indústria;NOVO HORIZONTE;SP;3533502
382;;2010;Indústria;NUPORANGA;SP;3533601
383;;2010;Indústria;OCAUÇU;SP;3533700
384;1804209000;2010;Indústria;ÓLEO;SP;3533809
385;322149000;2010;Indústria;OLÍMPIA;SP;3533908
386;;2010;Indústria;ONDA VERDE;SP;3534005
387;;2010;Indústria;ORIENTE;SP;3534104
388;;2010;Indústria;ORINDIÚVA;SP;3534203
389;;2010;Indústria;ORLÂNDIA;SP;3534302
390;2955428000;2010;Indústria;OSASCO;SP;3534401
391;4471786000;2010;Indústria;OSCAR BRESSANE;SP;3534500
392;;2010;Indústria;OSVALDO CRUZ;SP;3534609
393;356157000;2010;Indústria;OURINHOS;SP;3534708
394;4025124000;2010;Indústria;OURO VERDE;SP;3534807
395;;2010;Indústria;OUROESTE;SP;3534757
396;4922394000;2010;Indústria;PACAEMBU;SP;3534906
397;;2010;Indústria;PALESTINA;SP;3535002
398;;2010;Indústria;PALMARES PAULISTA;SP;3535101
399;;2010;Indústria;PALMEIRA D'OESTE;SP;3535200
400;0;2010;Indústria;PALMITAL;SP;3535309
401;0;2010;Indústria;PANORAMA;SP;3535408
402;;2010;Indústria;PARAGUAÇU PAULISTA;SP;3535507
403;0;2010;Indústria;PARAIBUNA;SP;3535606
404;;2010;Indústria;PARAÍSO;SP;3535705
405;;2010;Indústria;PARANAPANEMA;SP;3535804
406;2886042000;2010;Indústria;PARANAPUÃ;SP;3535903
407;31336000;2010;Indústria;PARAPUÃ;SP;3536000
408;;2010;Indústria;PARDINHO;SP;3536109
409;;2010;Indústria;PARIQUERA-AÇU;SP;3536208
410;980859000;2010;Indústria;PARISI;SP;3536257
411;;2010;Indústria;PATROCÍNIO PAULISTA;SP;3536307
412;;2010;Indústria;PAULICÉIA;SP;3536406
413;6347269000;2010;Indústria;PAULÍNIA;SP;3536505
414;0;2010;Indústria;PAULISTÂNIA;SP;3536570
415;8303673000;2010;Indústria;PAULO DE FARIA;SP;3536604
416;;2010;Indústria;PEDERNEIRAS;SP;3536703
417;2055365000;2010;Indústria;PEDRA BELA;SP;3536802
418;0;2010;Indústria;PEDRANÓPOLIS;SP;3536901
419;;2010;Indústria;PEDREGULHO;SP;3537008
420;0;2010;Indústria;PEDREIRA;SP;3537107
421;5014426000;2010;Indústria;PEDRINHAS PAULISTA;SP;3537156
422;6055051000;2010;Indústria;PEDRO DE TOLEDO;SP;3537206
423;147945000;2010;Indústria;PENÁPOLIS;SP;3537305
424;;2010;Indústria;PEREIRA BARRETO;SP;3537404
425;;2010;Indústria;PEREIRAS;SP;3537503
426;;2010;Indústria;PERUÍBE;SP;3537602
427;6583606000;2010;Indústria;PIACATU;SP;3537701
428;;2010;Indústria;PIEDADE;SP;3537800
429;;2010;Indústria;PILAR DO SUL;SP;3537909
430;1383713000;2010;Indústria;PINDAMONHANGABA;SP;3538006
