ValorPIB,SetorPIB,AnoPIB,NomeCidadePIB,UFPIB,CodigoIBGE
,Indústria,2010,REGENTE FEIJÓ,SP,3542404
4389209000,Indústria,2010,REGINÓPOLIS,SP,3542503
,Indústria,2010,REGISTRO,SP,3542602
,Indústria,2010,RESTINGA,SP,3542701
0,Indústria,2010,RIBEIRA,SP,3542800
,Indústria,2010,RIBEIRÃO BONITO,SP,3542909
9387903000,Indústria,2010,RIBEIRÃO BRANCO,SP,3543006
6792419000,Indústria,2010,RIBEIRÃO CORRENTE,SP,3543105
8107872000,Indústria,2010,RIBEIRÃO DO SUL,SP,3543204
1548633000,Indústria,2010,RIBEIRÃO DOS ÍNDIOS,SP,3543238
0,Indústria,2010,RIBEIRÃO GRANDE,SP,3543253
541432000,Indústria,2010,RIBEIRÃO PIRES,SP,3543303
2798894000,Indústria,2010,RIBEIRÃO PRETO,SP,3543402
3156771000,Indústria,2010,RIFAINA,SP,3543600
,Indústria,2010,RINCÃO,SP,3543709
9800075000,Indústria,2010,RINÓPOLIS,SP,3543808
2188438000,Indústria,2010,RIO CLARO,SP,3543907
0,Indústria,2010,RIO DAS PEDRAS,SP,3544004
0,Indústria,2010,RIO GRANDE DA SERRA,SP,3544103
9158768000,Indústria,2010,RIOLÂNDIA,SP,3544202
2288533000,Indústria,2010,RIVERSUL,SP,3543501
,Indústria,2010,ROSANA,SP,3544251
0,Indústria,2010,ROSEIRA,SP,3544301
0,Indústria,2010,RUBIÁCEA,SP,3544400
