ContagemPop,FaixaEtariaPop,SexoPop,NomeCidadePopulacao,UFPopulacao,CodigoIBGE
107,15 a 19,M,Alto Alegre,SP,3501103
101,20 a 24,M,Alto Alegre,SP,3501103
90,25 a 29,M,Alto Alegre,SP,3501103
130,30 a 34,M,Alto Alegre,SP,3501103
123,35 a 39,M,Alto Alegre,SP,3501103
139,40 a 44,M,Alto Alegre,SP,3501103
134,45 a 49,M,Alto Alegre,SP,3501103
121,50 a 54,M,Alto Alegre,SP,3501103
154,55 a 59,M,Alto Alegre,SP,3501103
136,60 a 64,M,Alto Alegre,SP,3501103
121,65 a 69,M,Alto Alegre,SP,3501103
108,70 a 74,M,Alto Alegre,SP,3501103
68,75 a 79,M,Alto Alegre,SP,3501103
53,80 a 84,M,Alto Alegre,SP,3501103
23,85 a 89,M,Alto Alegre,SP,3501103
14,90 e +,M,Alto Alegre,SP,3501103
90,00 a 04,H,Alto Alegre,SP,3501103
93,05 a 09,H,Alto Alegre,SP,3501103
105,10 a 14,H,Alto Alegre,SP,3501103
93,15 a 19,H,Alto Alegre,SP,3501103
104,20 a 24,H,Alto Alegre,SP,3501103
109,25 a 29,H,Alto Alegre,SP,3501103
116,30 a 34,H,Alto Alegre,SP,3501103
143,35 a 39,H,Alto Alegre,SP,3501103
159,40 a 44,H,Alto Alegre,SP,3501103
133,45 a 49,H,Alto Alegre,SP,3501103
144,50 a 54,H,Alto Alegre,SP,3501103
125,55 a 59,H,Alto Alegre,SP,3501103
135,60 a 64,H,Alto Alegre,SP,3501103
105,65 a 69,H,Alto Alegre,SP,3501103
118,70 a 74,H,Alto Alegre,SP,3501103
81,75 a 79,H,Alto Alegre,SP,3501103
46,80 a 84,H,Alto Alegre,SP,3501103
20,85 a 89,H,Alto Alegre,SP,3501103
10,90 e +,H,Alto Alegre,SP,3501103
533,00 a 04,M,Alumínio,SP,3501152
600,05 a 09,M,Alumínio,SP,3501152
584,10 a 14,M,Alumínio,SP,3501152
621,15 a 19,M,Alumínio,SP,3501152
643,20 a 24,M,Alumínio,SP,3501152
621,25 a 29,M,Alumínio,SP,3501152
648,30 a 34,M,Alumínio,SP,3501152
737,35 a 39,M,Alumínio,SP,3501152
709,40 a 44,M,Alumínio,SP,3501152
638,45 a 49,M,Alumínio,SP,3501152
535,50 a 54,M,Alumínio,SP,3501152
482,55 a 59,M,Alumínio,SP,3501152
416,60 a 64,M,Alumínio,SP,3501152
333,65 a 69,M,Alumínio,SP,3501152
264,70 a 74,M,Alumínio,SP,3501152
164,75 a 79,M,Alumínio,SP,3501152
104,80 a 84,M,Alumínio,SP,3501152
49,85 a 89,M,Alumínio,SP,3501152
23,90 e +,M,Alumínio,SP,3501152
535,00 a 04,H,Alumínio,SP,3501152
587,05 a 09,H,Alumínio,SP,3501152
578,10 a 14,H,Alumínio,SP,3501152
670,15 a 19,H,Alumínio,SP,3501152
665,20 a 24,H,Alumínio,SP,3501152
634,25 a 29,H,Alumínio,SP,3501152
613,30 a 34,H,Alumínio,SP,3501152
673,35 a 39,H,Alumínio,SP,3501152
699,40 a 44,H,Alumínio,SP,3501152
635,45 a 49,H,Alumínio,SP,3501152
553,50 a 54,H,Alumínio,SP,3501152
536,55 a 59,H,Alumínio,SP,3501152
395,60 a 64,H,Alumínio,SP,3501152
305,65 a 69,H,Alumínio,SP,3501152
224,70 a 74,H,Alumínio,SP,3501152
157,75 a 79,H,Alumínio,SP,3501152
92,80 a 84,H,Alumínio,SP,3501152
29,85 a 89,H,Alumínio,SP,3501152
17,90 e +,H,Alumínio,SP,3501152
77,00 a 04,M,Álvares Florence,SP,3501202
95,05 a 09,M,Álvares Florence,SP,3501202
98,10 a 14,M,Álvares Florence,SP,3501202
100,15 a 19,M,Álvares Florence,SP,3501202
101,20 a 24,M,Álvares Florence,SP,3501202
102,25 a 29,M,Álvares Florence,SP,3501202
108,30 a 34,M,Álvares Florence,SP,3501202
119,35 a 39,M,Álvares Florence,SP,3501202
150,40 a 44,M,Álvares Florence,SP,3501202
115,45 a 49,M,Álvares Florence,SP,3501202
145,50 a 54,M,Álvares Florence,SP,3501202
163,55 a 59,M,Álvares Florence,SP,3501202
161,60 a 64,M,Álvares Florence,SP,3501202
137,65 a 69,M,Álvares Florence,SP,3501202
108,70 a 74,M,Álvares Florence,SP,3501202
75,75 a 79,M,Álvares Florence,SP,3501202
47,80 a 84,M,Álvares Florence,SP,3501202
24,85 a 89,M,Álvares Florence,SP,3501202
7,90 e +,M,Álvares Florence,SP,3501202
92,00 a 04,H,Álvares Florence,SP,3501202
92,05 a 09,H,Álvares Florence,SP,3501202
118,10 a 14,H,Álvares Florence,SP,3501202
123,15 a 19,H,Álvares Florence,SP,3501202
118,20 a 24,H,Álvares Florence,SP,3501202
96,25 a 29,H,Álvares Florence,SP,3501202
102,30 a 34,H,Álvares Florence,SP,3501202
